Symbol,Security,GICS Sector,GICS Sub-Industry
A,A,Unknown,Unknown
AAPL,AAPL,Unknown,Unknown
ABBV,ABBV,Unknown,Unknown
ABNB,ABNB,Unknown,Unknown
ABT,ABT,Unknown,Unknown
ACGL,ACGL,Unknown,Unknown
ACN,ACN,Unknown,Unknown
ADBE,ADBE,Unknown,Unknown
ADI,ADI,Unknown,Unknown
ADM,ADM,Unknown,Unknown
ADP,ADP,Unknown,Unknown
ADSK,ADSK,Unknown,Unknown
AEE,AEE,Unknown,Unknown
AEP,AEP,Unknown,Unknown
AES,AES,Unknown,Unknown
AFL,AFL,Unknown,Unknown
AIG,AIG,Unknown,Unknown
AIZ,AIZ,Unknown,Unknown
AJG,AJG,Unknown,Unknown
AKAM,AKAM,Unknown,Unknown
ALB,ALB,Unknown,Unknown
ALGN,ALGN,Unknown,Unknown
ALL,ALL,Unknown,Unknown
ALLE,ALLE,Unknown,Unknown
AMAT,AMAT,Unknown,Unknown
AMCR,AMCR,Unknown,Unknown
AMD,AMD,Unknown,Unknown
AME,AME,Unknown,Unknown
AMGN,AMGN,Unknown,Unknown
AMP,AMP,Unknown,Unknown
AMT,AMT,Unknown,Unknown
AMTM,AMTM,Unknown,Unknown
AMZN,AMZN,Unknown,Unknown
ANET,ANET,Unknown,Unknown
ANSS,ANSS,Unknown,Unknown
AON,AON,Unknown,Unknown
AOS,AOS,Unknown,Unknown
APA,APA,Unknown,Unknown
APD,APD,Unknown,Unknown
APH,APH,Unknown,Unknown
APTV,APTV,Unknown,Unknown
ARE,ARE,Unknown,Unknown
ATO,ATO,Unknown,Unknown
AVB,AVB,Unknown,Unknown
AVGO,AVGO,Unknown,Unknown
AVY,AVY,Unknown,Unknown
AWK,AWK,Unknown,Unknown
AXON,AXON,Unknown,Unknown
AXP,AXP,Unknown,Unknown
AZO,AZO,Unknown,Unknown
BA,BA,Unknown,Unknown
BAC,BAC,Unknown,Unknown
BALL,BALL,Unknown,Unknown
BAX,BAX,Unknown,Unknown
BBY,BBY,Unknown,Unknown
BDX,BDX,Unknown,Unknown
BEN,BEN,Unknown,Unknown
BF.B,BF.B,Unknown,Unknown
BG,BG,Unknown,Unknown
BIIB,BIIB,Unknown,Unknown
BK,BK,Unknown,Unknown
BKNG,BKNG,Unknown,Unknown
BKR,BKR,Unknown,Unknown
BLDR,BLDR,Unknown,Unknown
BLK,BLK,Unknown,Unknown
BMY,BMY,Unknown,Unknown
BR,BR,Unknown,Unknown
BRO,BRO,Unknown,Unknown
BSX,BSX,Unknown,Unknown
BWA,BWA,Unknown,Unknown
BX,BX,Unknown,Unknown
BXP,BXP,Unknown,Unknown
C,C,Unknown,Unknown
CAG,CAG,Unknown,Unknown
CAH,CAH,Unknown,Unknown
CARR,CARR,Unknown,Unknown
CAT,CAT,Unknown,Unknown
CB,CB,Unknown,Unknown
CBOE,CBOE,Unknown,Unknown
CBRE,CBRE,Unknown,Unknown
CCI,CCI,Unknown,Unknown
CCL,CCL,Unknown,Unknown
CDNS,CDNS,Unknown,Unknown
CDW,CDW,Unknown,Unknown
CE,CE,Unknown,Unknown
CEG,CEG,Unknown,Unknown
CF,CF,Unknown,Unknown
CFG,CFG,Unknown,Unknown
CHD,CHD,Unknown,Unknown
CHRW,CHRW,Unknown,Unknown
CHTR,CHTR,Unknown,Unknown
CI,CI,Unknown,Unknown
CINF,CINF,Unknown,Unknown
CL,CL,Unknown,Unknown
CLX,CLX,Unknown,Unknown
CMCSA,CMCSA,Unknown,Unknown
CME,CME,Unknown,Unknown
CMG,CMG,Unknown,Unknown
CMI,CMI,Unknown,Unknown
CMS,CMS,Unknown,Unknown
CNC,CNC,Unknown,Unknown
CNP,CNP,Unknown,Unknown
COF,COF,Unknown,Unknown
COO,COO,Unknown,Unknown
COP,COP,Unknown,Unknown
COR,COR,Unknown,Unknown
COST,COST,Unknown,Unknown
CPAY,CPAY,Unknown,Unknown
CPRT,CPRT,Unknown,Unknown
CPT,CPT,Unknown,Unknown
CRL,CRL,Unknown,Unknown
CRM,CRM,Unknown,Unknown
CRWD,CRWD,Unknown,Unknown
CSCO,CSCO,Unknown,Unknown
CSGP,CSGP,Unknown,Unknown
CSX,CSX,Unknown,Unknown
CTAS,CTAS,Unknown,Unknown
CTLT,CTLT,Unknown,Unknown
CTRA,CTRA,Unknown,Unknown
CTSH,CTSH,Unknown,Unknown
CTVA,CTVA,Unknown,Unknown
CVS,CVS,Unknown,Unknown
CVX,CVX,Unknown,Unknown
CZR,CZR,Unknown,Unknown
D,D,Unknown,Unknown
DAL,DAL,Unknown,Unknown
DAY,DAY,Unknown,Unknown
DD,DD,Unknown,Unknown
DE,DE,Unknown,Unknown
DECK,DECK,Unknown,Unknown
DELL,DELL,Unknown,Unknown
DFS,DFS,Unknown,Unknown
DG,DG,Unknown,Unknown
DGX,DGX,Unknown,Unknown
DHI,DHI,Unknown,Unknown
DHR,DHR,Unknown,Unknown
DIS,DIS,Unknown,Unknown
DLR,DLR,Unknown,Unknown
DLTR,DLTR,Unknown,Unknown
DOV,DOV,Unknown,Unknown
DOW,DOW,Unknown,Unknown
DPZ,DPZ,Unknown,Unknown
DRI,DRI,Unknown,Unknown
DTE,DTE,Unknown,Unknown
DUK,DUK,Unknown,Unknown
DVA,DVA,Unknown,Unknown
DVN,DVN,Unknown,Unknown
DXCM,DXCM,Unknown,Unknown
EA,EA,Unknown,Unknown
EBAY,EBAY,Unknown,Unknown
ECL,ECL,Unknown,Unknown
